"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 04 04:44:29 UTC 2023","Tue Jul 04 04:44:32 UTC 2023","3097","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Jul 04 04:12:54 UTC 2023","Tue Jul 04 04:13:30 UTC 2023","36129","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jul 04 04:46:57 UTC 2023","Tue Jul 04 04:47:12 UTC 2023","14521","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Jul 04 04:13:34 UTC 2023","Tue Jul 04 04:13:38 UTC 2023","3388","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Jul 04 04:30:27 UTC 2023","Tue Jul 04 04:30:41 UTC 2023","14307","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Jul 04 04:14:38 UTC 2023","Tue Jul 04 04:14:50 UTC 2023","11520","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Jul 04 04:17:01 UTC 2023","Tue Jul 04 04:17:06 UTC 2023","4749","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Jul 04 04:15:21 UTC 2023","Tue Jul 04 04:15:35 UTC 2023","14470","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Tue Jul 04 04:12:21 UTC 2023","Tue Jul 04 04:12:35 UTC 2023","13746","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Jul 04 04:20:32 UTC 2023","Tue Jul 04 04:20:34 UTC 2023","1479","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Jul 04 04:24:41 UTC 2023","Tue Jul 04 04:24:47 UTC 2023","5787","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Jul 04 04:13:14 UTC 2023","Tue Jul 04 04:13:34 UTC 2023","20412","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Jul 04 04:25:52 UTC 2023","Tue Jul 04 04:25:53 UTC 2023","293","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Jul 04 04:47:24 UTC 2023","Tue Jul 04 04:47:28 UTC 2023","4268","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Jul 04 04:24:02 UTC 2023","Tue Jul 04 04:24:05 UTC 2023","2973","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Jul 04 04:32:53 UTC 2023","Tue Jul 04 04:33:14 UTC 2023","21023","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
